50/20000, perceptual loss = 0.0384, discriminator loss = 1.9674
2024-03-12 12:29:01,422 - 25/100, PSNR: 28.637155532836914
2024-03-12 12:29:02,104 - 26/100, PSNR: 24.170612335205078
2024-03-12 12:29:02,778 - 27/100, PSNR: 32.89842224121094
2024-03-12 12:29:03,381 - 28/100, PSNR: 22.93914222717285
2024-03-12 12:29:03,990 - 29/100, PSNR: 25.47943115234375
2024-03-12 12:29:05,698 - 30/100, PSNR: 24.656354904174805
2024-03-12 12:29:06,301 - 31/100, PSNR: 30.674028396606445
2024-03-12 12:29:06,910 - 32/100, PSNR: 30.701997756958008
2024-03-12 12:29:10,107 - 33/100, PSNR: 31.90496253967285
2024-03-12 12:29:10,713 - 34/100, PSNR: 23.302021026611328
2024-03-12 12:29:14,056 - 35/100, PSNR: 22.87866973876953
2024-03-12 12:29:14,734 - 36/100, PSNR: 25.308349609375
2024-03-12 12:29:15,337 - 37/100, PSNR: 28.22901725769043
2024-03-12 12:29:15,946 - 38/100, PSNR: 34.492919921875
2024-03-12 12:29:16,552 - 39/100, PSNR: 29.096769332885742
2024-03-12 12:29:17,156 - 40/100, PSNR: 29.747966766357422
2024-03-12 12:29:17,764 - 41/100, PSNR: 30.25930404663086
2024-03-12 12:29:18,370 - 42/100, PSNR: 29.289701461791992
2024-03-12 12:29:18,971 - 43/100, PSNR: 37.73769760131836
2024-03-12 12:29:21,788 - 44/100, PSNR: 27.340776443481445
2024-03-12 12:29:22,392 - 45/100, PSNR: 24.681354522705078
2024-03-12 12:29:25,227 - 46/100, PSNR: 26.121992111206055
2024-03-12 12:29:25,834 - 47/100, PSNR: 28.378877639770508
2024-03-12 12:29:26,512 - 48/100, PSNR: 27.38158416748047
2024-03-12 12:29:27,113 - 49/100, PSNR: 24.275819778442383
2024-03-12 12:29:27,718 - 50/100, PSNR: 28.564044952392578
2024-03-12 12:29:30,505 - 51/100, PSNR: 28.679841995239258
2024-03-12 12:29:32,907 - 52/100, PSNR: 29.201467514038086
2024-03-12 12:29:33,514 - 53/100, PSNR: 34.356292724609375
2024-03-12 12:29:35,732 - 54/100, PSNR: 25.470703125
2024-03-12 12:29:39,939 - 55/100, PSNR: 29.18581771850586
2024-03-12 12:29:40,546 - 56/100, PSNR: 25.65960693359375
2024-03-12 12:29:43,476 - 57/100, PSNR: 31.11162567138672
2024-03-12 12:29:44,083 - 58/100, PSNR: 29.25684928894043
2024-03-12 12:29:44,688 - 59/100, PSNR: 26.225292205810547
2024-03-12 12:29:45,371 - 60/100, PSNR: 20.764789581298828
2024-03-12 12:29:45,977 - 61/100, PSNR: 24.16204071044922
2024-03-12 12:29:46,585 - 62/100, PSNR: 31.50149154663086
2024-03-12 12:29:49,689 - 63/100, PSNR: 31.227657318115234
2024-03-12 12:29:50,293 - 64/100, PSNR: 30.048376083374023
2024-03-12 12:29:50,972 - 65/100, PSNR: 26.933923721313477
2024-03-12 12:29:51,580 - 66/100, PSNR: 24.432159423828125
2024-03-12 12:29:52,198 - 67/100, PSNR: 30.093303680419922
2024-03-12 12:29:52,805 - 68/100, PSNR: 31.67198371887207
2024-03-12 12:29:53,415 - 69/100, PSNR: 25.245580673217773
2024-03-12 12:29:56,673 - 70/100, PSNR: 31.69710350036621
2024-03-12 12:29:57,279 - 71/100, PSNR: 33.14789962768555
2024-03-12 12:29:57,879 - 72/100, PSNR: 24.398883819580078
2024-03-12 12:29:58,479 - 73/100, PSNR: 24.565134048461914
2024-03-12 12:29:59,082 - 74/100, PSNR: 29.092138290405273
2024-03-12 12:29:59,760 - 75/100, PSNR: 25.36595344543457
2024-03-12 12:30:00,369 - 76/100, PSNR: 21.64964485168457
2024-03-12 12:30:00,880 - 77/100, PSNR: 39.01313018798828
2024-03-12 12:30:04,470 - 78/100, PSNR: 33.413368225097656
2024-03-12 12:30:08,334 - 79/100, PSNR: 28.553380966186523
2024-03-12 12:30:08,938 - 80/100, PSNR: 33.32068634033203
2024-03-12 12:30:11,548 - 81/100, PSNR: 26.568239212036133
2024-03-12 12:30:12,154 - 82/100, PSNR: 33.122474670410156
2024-03-12 12:30:15,006 - 83/100, PSNR: 28.5585994720459
2024-03-12 12:30:15,610 - 84/100, PSNR: 26.852426528930664
2024-03-12 12:30:16,209 - 85/100, PSNR: 22.460786819458008
2024-03-12 12:30:16,810 - 86/100, PSNR: 34.01689910888672
2024-03-12 12:30:17,413 - 87/100, PSNR: 24.581300735473633
2024-03-12 12:30:18,021 - 88/100, PSNR: 29.611806869506836
2024-03-12 12:30:18,631 - 89/100, PSNR: 30.89910316467285
2024-03-12 12:30:19,242 - 90/100, PSNR: 24.54690933227539
2024-03-12 12:30:22,680 - 91/100, PSNR: 27.046537399291992
2024-03-12 12:30:23,253 - 92/100, PSNR: 30.068775177001953
2024-03-12 12:30:23,859 - 93/100, PSNR: 30.853364944458008
2024-03-12 12:30:24,468 - 94/100, PSNR: 29.14762306213379
2024-03-12 12:30:25,033 - 95/100, PSNR: 20.367998123168945
2024-03-12 12:30:25,636 - 96/100, PSNR: 28.942108154296875
2024-03-12 12:30:26,244 - 97/100, PSNR: 22.859500885009766
2024-03-12 12:30:26,847 - 98/100, PSNR: 32.112152099609375
2024-03-12 12:30:27,451 - 99/100, PSNR: 31.90860939025879
2024-03-12 12:30:27,958 - 100/100, PSNR: 28.39809799194336
2024-03-12 12:30:27,961 - PSNR in bicubic_x2_valid_dataset: 28.616220474243164
2024-03-12 12:30:28,593 - 1/100, SSIM: 0.6969849697726059
2024-03-12 12:30:29,211 - 2/100, SSIM: 0.8316906160123624
2024-03-12 12:30:29,899 - 3/100, SSIM: 0.9339731916881625
2024-03-12 12:30:30,444 - 4/100, SSIM: 0.6991804921190123
2024-03-12 12:30:31,134 - 5/100, SSIM: 0.8187597278094053
2024-03-12 12:30:31,754 - 6/100, SSIM: 0.9313176524901859
2024-03-12 12:30:32,272 - 7/100, SSIM: 0.3820426915693714
2024-03-12 12:30:32,887 - 8/100, SSIM: 0.4022601739430186
2024-03-12 12:30:33,506 - 9/100, SSIM: 0.9391655856085805
2024-03-12 12:30:34,197 - 10/100, SSIM: 0.6264170338192054
2024-03-12 12:30:34,812 - 11/100, SSIM: 0.6408929767148355
2024-03-12 12:30:35,508 - 12/100, SSIM: 0.7986279746033417
2024-03-12 12:30:36,169 - 13/100, SSIM: 0.49141215273320354
2024-03-12 12:30:36,785 - 14/100, SSIM: 0.5888016651073825
2024-03-12 12:30:37,408 - 15/100, SSIM: 0.8396816327681597
2024-03-12 12:30:38,032 - 16/100, SSIM: 0.6998844412614897
2024-03-12 12:30:38,724 - 17/100, SSIM: 0.7868759761555635
2024-03-12 12:30:39,422 - 18/100, SSIM: 0.5962056498286661
2024-03-12 12:30:40,045 - 19/100, SSIM: 0.9368306452602061
2024-03-12 12:30:40,659 - 20/100, SSIM: 0.8642920762743385
2024-03-12 12:30:41,285 - 21/100, SSIM: 0.7555928771244182
2024-03-12 12:30:42,008 - 22/100, SSIM: 0.8661526949583551
2024-03-12 12:30:42,596 - 23/100, SSIM: 0.801841714249855
2024-03-12 12:30:43,213 - 24/100, SSIM: 0.8358156993615866
2024-03-12 12:30:43,833 - 25/100, SSIM: 0.5792404915946054
2024-03-12 12:30:44,526 - 26/100, SSIM: 0.7505182260673732
2024-03-12 12:30:45,222 - 27/100, SSIM: 0.6142158628516122
2024-03-12 12:30:45,843 - 28/100, SSIM: 0.7078226796496044
2024-03-12 12:30:46,461 - 29/100, SSIM: 0.6307331721072897
2024-03-12 12:30:46,848 - 30/100, SSIM: 0.5296910960115182
2024-03-12 12:30:47,465 - 31/100, SSIM: 0.858953582275503
2024-03-12 12:30:48,081 - 32/100, SSIM: 0.9254310926307532
2024-03-12 12:30:48,780 - 33/100, SSIM: 0.7538184096637819
2024-03-12 12:30:49,399 - 34/100, SSIM: 0.5734125765743381
2024-03-12 12:30:50,133 - 35/100, SSIM: 0.5949934652201747
2024-03-12 12:30:50,824 - 36/100, SSIM: 0.6850154904794195
2024-03-12 12:30:51,441 - 37/100, SSIM: 0.8667678606898797
2024-03-12 12:30:52,062 - 38/100, SSIM: 0.2264402341226787
2024-03-12 12:30:52,681 - 39/100, SSIM: 0.6275156824548931
2024-03-12 12:30:53,302 - 40/100, SSIM: 0.6828142026878303
2024-03-12 12:30:53,928 - 41/100, SSIM: 0.806472686634901
2024-03-12 12:30:54,551 - 42/100, SSIM: 0.8679710091046307
2024-03-12 12:30:55,167 - 43/100, SSIM: nan
2024-03-12 12:30:55,795 - 44/100, SSIM: 0.95077847839862
2024-03-12 12:30:56,415 - 45/100, SSIM: 0.0949373238465557
2024-03-12 12:30:57,041 - 46/100, SSIM: 0.6496649961892963
2024-03-12 12:30:57,659 - 47/100, SSIM: 0.7784503196540573
2024-03-12 12:30:58,355 - 48/100, SSIM: 0.46162718100337347
2024-03-12 12:30:58,979 - 49/100, SSIM: 0.8220241721607848
2024-03-12 12:30:59,599 - 50/100, SSIM: 0.811450100179805
2024-03-12 12:31:00,209 - 51/100, SSIM: 0.7174075413868959
2024-03-12 12:31:00,734 - 52/100, SSIM: 0.5535232727482751
2024-03-12 12:31:01,353 - 53/100, SSIM: 0.4616903642669955
2024-03-12 12:31:01,847 - 54/100, SSIM: 0.5770050218288646
2024-03-12 12:31:02,782 - 55/100, SSIM: 0.6507138733691328
2024-03-12 12:31:03,419 - 56/100, SSIM: 0.5039338521141393
2024-03-12 12:31:04,075 - 57/100, SSIM: 0.2480793978585151
2024-03-12 12:31:04,690 - 58/100, SSIM: 0.5908859793624506
2024-03-12 12:31:05,314 - 59/100, SSIM: 0.6926204699584149
2024-03-12 12:31:06,002 - 60/100, SSIM: 0.7800083433959755
2024-03-12 12:31:06,620 - 61/100, SSIM: 0.7665980408933225
2024-03-12 12:31:07,239 - 62/100, SSIM: 0.7900191405099433
2024-03-12 12:31:07,930 - 63/100, SSIM: 0.4430997715914561
2024-03-12 12:31:08,553 - 64/100, SSIM: 0.56417198090817
2024-03-12 12:31:09,243 - 65/100, SSIM: 0.5725554273792709
2024-03-12 12:31:09,862 - 66/100, SSIM: 0.4627315946877399
2024-03-12 12:31:10,494 - 67/100, SSIM: 0.8456432744128574
2024-03-12 12:31:11,145 - 68/100, SSIM: 0.2665782415898953
2024-03-12 12:31:11,766 - 69/100, SSIM: 0.5666507601492323
2024-03-12 12:31:12,478 - 70/100, SSIM: 0.858196576283021
2024-03-12 12:31:13,097 - 71/100, SSIM: 0.874119549447312
2024-03-12 12:31:13,711 - 72/100, SSIM: 0.8049427052014849
2024-03-12 12:31:14,329 - 73/100, SSIM: 0.7340520048808604
2024-03-12 12:31:14,947 - 74/100, SSIM: 0.5797721029172084
2024-03-12 12:31:15,641 - 75/100, SSIM: 0.7212164416253818
2024-03-12 12:31:16,263 - 76/100, SSIM: 0.45788698472798445
2024-03-12 12:31:16,786 - 77/100, SSIM: 0.9466606110558254
2024-03-12 12:31:17,570 - 78/100, SSIM: 0.8401745149104498
2024-03-12 12:31:18,408 - 79/100, SSIM: 0.8549832754490975
2024-03-12 12:31:19,027 - 80/100, SSIM: 0.5350858910931706
2024-03-12 12:31:19,602 - 81/100, SSIM: 0.744108906967422
2024-03-12 12:31:20,222 - 82/100, SSIM: 0.6629845817668658
2024-03-12 12:31:20,855 - 83/100, SSIM: 0.6683789365442276
2024-03-12 12:31:21,486 - 84/100, SSIM: 0.5650558882616846
2024-03-12 12:31:22,110 - 85/100, SSIM: 0.4680844286500488
2024-03-12 12:31:22,749 - 86/100, SSIM: 0.31958512134556655
2024-03-12 12:31:23,365 - 87/100, SSIM: 0.9362707660797053
2024-03-12 12:31:23,984 - 88/100, SSIM: 0.9352643875988044
2024-03-12 12:31:24,621 - 89/100, SSIM: 0.7848259560532862
2024-03-12 12:31:25,276 - 90/100, SSIM: 0.5084069457626088
2024-03-12 12:31:26,036 - 91/100, SSIM: 0.8994286699929785
2024-03-12 12:31:26,635 - 92/100, SSIM: 0.8103271156396007
2024-03-12 12:31:27,251 - 93/100, SSIM: 0.6629828554241233
2024-03-12 12:31:27,870 - 94/100, SSIM: 0.8552794881151975
2024-03-12 12:31:28,465 - 95/100, SSIM: 0.7191055404267709
2024-03-12 12:31:29,087 - 96/100, SSIM: 0.22934626341610637
2024-03-12 12:31:29,712 - 97/100, SSIM: 0.6575666716141759
2024-03-12 12:31:30,338 - 98/100, SSIM: 0.8516747479817232
2024-03-12 12:31:30,955 - 99/100, SSIM: 0.9466333871410099
2024-03-12 12:31:31,484 - 100/100, SSIM: 0.8216289168625952
2024-03-12 12:31:31,487 - SSIM in bicubic_x2_valid_dataset: nan
2024-03-12 12:33:53,725 - 1/100, SSIM: 0.8683869936503253
2024-03-12 12:33:55,004 - 2/100, SSIM: 0.8331723432518183
2024-03-12 12:33:58,947 - 3/100, SSIM: 0.9631553396660687
2024-03-12 12:34:02,039 - 4/100, SSIM: 0.7622317959621864
2024-03-12 12:34:03,476 - 5/100, SSIM: 0.7374802142012902
2024-03-12 12:34:04,741 - 6/100, SSIM: 0.8227832423284235
2024-03-12 12:34:07,641 - 7/100, SSIM: 0.47953657900080326
2024-03-12 12:34:08,920 - 8/100, SSIM: 0.7527375187270441
2024-03-12 12:34:10,182 - 9/100, SSIM: 0.9112185700440217
2024-03-12 12:34:11,615 - 10/100, SSIM: 0.8157601123780699
2024-03-12 12:34:12,888 - 11/100, SSIM: 0.7654020115015915
2024-03-12 12:34:14,333 - 12/100, SSIM: 0.7874220024852939
2024-03-12 12:34:18,108 - 13/100, SSIM: 0.8076756100849605
2024-03-12 12:34:19,389 - 14/100, SSIM: 0.8819584839771043
2024-03-12 12:34:20,661 - 15/100, SSIM: 0.8885453840098023
2024-03-12 12:34:21,924 - 16/100, SSIM: 0.8051705374378507
2024-03-12 12:34:23,371 - 17/100, SSIM: 0.861831378708589
2024-03-12 12:34:24,834 - 18/100, SSIM: 0.8783617286104143
2024-03-12 12:34:26,101 - 19/100, SSIM: 0.8461519111909389
2024-03-12 12:34:27,361 - 20/100, SSIM: 0.8013343825124162
2024-03-12 12:34:28,636 - 21/100, SSIM: 0.8030762823457748
2024-03-12 12:34:32,723 - 22/100, SSIM: 0.8771823424020341
2024-03-12 12:34:36,028 - 23/100, SSIM: 0.7502276629586525
2024-03-12 12:34:37,304 - 24/100, SSIM: 0.8561270001420357
2024-03-12 12:34:38,567 - 25/100, SSIM: 0.8006056931547577
2024-03-12 12:34:40,026 - 26/100, SSIM: 0.7481679756349816
2024-03-12 12:34:41,476 - 27/100, SSIM: 0.8514607802481496
2024-03-12 12:34:42,736 - 28/100, SSIM: 0.6302185029678314
2024-03-12 12:34:44,006 - 29/100, SSIM: 0.4585834653637731
2024-03-12 12:34:46,107 - 30/100, SSIM: 0.7127480443198025
2024-03-12 12:34:47,378 - 31/100, SSIM: 0.8715467303131063
2024-03-12 12:34:48,670 - 32/100, SSIM: 0.8729907977874065
2024-03-12 12:34:52,609 - 33/100, SSIM: 0.861465385158357
2024-03-12 12:34:53,866 - 34/100, SSIM: 0.7699156479821939
2024-03-12 12:34:58,051 - 35/100, SSIM: 0.5755898057544686
2024-03-12 12:34:59,480 - 36/100, SSIM: 0.7858618070952685
2024-03-12 12:35:00,748 - 37/100, SSIM: 0.8463075745917313
2024-03-12 12:35:02,009 - 38/100, SSIM: 0.8629582926861898
2024-03-12 12:35:03,268 - 39/100, SSIM: 0.47610257392203814
2024-03-12 12:35:04,532 - 40/100, SSIM: 0.8114528606362771
2024-03-12 12:35:05,795 - 41/100, SSIM: 0.8601331110118596
2024-03-12 12:35:07,059 - 42/100, SSIM: 0.8515230417684977
2024-03-12 12:35:08,326 - 43/100, SSIM: 0.9529017911425428
2024-03-12 12:35:11,848 - 44/100, SSIM: 0.9730455809930035
2024-03-12 12:35:13,110 - 45/100, SSIM: 0.7475176260867405
2024-03-12 12:35:16,606 - 46/100, SSIM: 0.7150001190256668
2024-03-12 12:35:17,906 - 47/100, SSIM: 0.8030175657413849
2024-03-12 12:35:19,344 - 48/100, SSIM: 0.6451636847876481
2024-03-12 12:35:20,616 - 49/100, SSIM: 0.764538197898057
2024-03-12 12:35:21,869 - 50/100, SSIM: 0.81623419120595
2024-03-12 12:35:25,297 - 51/100, SSIM: 0.7062895852690029
2024-03-12 12:35:28,279 - 52/100, SSIM: 0.5159157710716419
2024-03-12 12:35:29,600 - 53/100, SSIM: 0.9047263154192308
2024-03-12 12:35:32,397 - 54/100, SSIM: 0.7165365679322159
2024-03-12 12:35:38,007 - 55/100, SSIM: 0.691459905202431
2024-03-12 12:35:39,346 - 56/100, SSIM: 0.7165386640133921
2024-03-12 12:35:43,148 - 57/100, SSIM: 0.6595096504800525
2024-03-12 12:35:44,413 - 58/100, SSIM: 0.7171229866138088
2024-03-12 12:35:45,696 - 59/100, SSIM: 0.6962055215275503
2024-03-12 12:35:47,128 - 60/100, SSIM: 0.6546524334416467
2024-03-12 12:35:48,402 - 61/100, SSIM: 0.719142212811788
2024-03-12 12:35:49,677 - 62/100, SSIM: 0.7709198868529189
2024-03-12 12:35:53,555 - 63/100, SSIM: 0.8712006548022417
2024-03-12 12:35:54,826 - 64/100, SSIM: 0.7532900765332785
2024-03-12 12:35:56,257 - 65/100, SSIM: 0.730510998907098
2024-03-12 12:35:57,589 - 66/100, SSIM: 0.806039235958333
2024-03-12 12:35:58,890 - 67/100, SSIM: 0.8505109181774202
2024-03-12 12:36:00,170 - 68/100, SSIM: 0.9483374754740631
2024-03-12 12:36:01,485 - 69/100, SSIM: 0.8313613960738072
2024-03-12 12:36:05,510 - 70/100, SSIM: 0.8728823768704523
2024-03-12 12:36:06,775 - 71/100, SSIM: 0.9007362192461205
2024-03-12 12:36:08,040 - 72/100, SSIM: 0.6725147347656786
2024-03-12 12:36:09,321 - 73/100, SSIM: 0.7389796636037533
2024-03-12 12:36:10,589 - 74/100, SSIM: 0.7798150007531293
2024-03-12 12:36:12,037 - 75/100, SSIM: 0.663658909588081
2024-03-12 12:36:13,299 - 76/100, SSIM: 0.5246836345238849
2024-03-12 12:36:14,382 - 77/100, SSIM: 0.9604402714767476
2024-03-12 12:36:18,817 - 78/100, SSIM: 0.8817158813562812
2024-03-12 12:36:23,604 - 79/100, SSIM: 0.8546088711142102
2024-03-12 12:36:24,917 - 80/100, SSIM: 0.9003842893533077
2024-03-12 12:36:28,130 - 81/100, SSIM: 0.7700123134908976
2024-03-12 12:36:29,408 - 82/100, SSIM: 0.9290900944636499
2024-03-12 12:36:32,935 - 83/100, SSIM: 0.7912154208245954
2024-03-12 12:36:34,205 - 84/100, SSIM: 0.7198230457441138
2024-03-12 12:36:35,478 - 85/100, SSIM: 0.5197302363550372
2024-03-12 12:36:36,808 - 86/100, SSIM: 0.8415919213857938
2024-03-12 12:36:38,116 - 87/100, SSIM: 0.714521875596323
2024-03-12 12:36:39,398 - 88/100, SSIM: 0.8594346644594325
2024-03-12 12:36:40,671 - 89/100, SSIM: 0.8764000488105929
2024-03-12 12:36:41,979 - 90/100, SSIM: 0.7171087242862234
2024-03-12 12:36:46,335 - 91/100, SSIM: 0.7799724352287919
2024-03-12 12:36:47,546 - 92/100, SSIM: 0.8835770622662897
2024-03-12 12:36:48,822 - 93/100, SSIM: 0.7020015561277787
2024-03-12 12:36:50,130 - 94/100, SSIM: 0.872914665707106
2024-03-12 12:36:51,318 - 95/100, SSIM: 0.5663979536343567
2024-03-12 12:36:52,587 - 96/100, SSIM: 0.9309012422322018
2024-03-12 12:36:53,877 - 97/100, SSIM: 0.6547580654473232
2024-03-12 12:36:55,136 - 98/100, SSIM: 0.8867461706834684
2024-03-12 12:36:56,404 - 99/100, SSIM: 0.9056023082746942
2024-03-12 12:36:57,477 - 100/100, SSIM: 0.7027879804568625
2024-03-12 12:36:57,480 - SSIM in bicubic_x2_valid_dataset: 0.782572581695443
2024-03-12 12:37:30,375 - 1/100, PSNR: 25.14090347290039
2024-03-12 12:37:30,978 - 2/100, PSNR: 29.617828369140625
2024-03-12 12:37:34,145 - 3/100, PSNR: 29.73246192932129
2024-03-12 12:37:36,619 - 4/100, PSNR: 23.328811645507812
2024-03-12 12:37:37,299 - 5/100, PSNR: 25.43440818786621
2024-03-12 12:37:37,902 - 6/100, PSNR: 24.634735107421875
2024-03-12 12:37:40,236 - 7/100, PSNR: 18.50008201599121
2024-03-12 12:37:40,842 - 8/100, PSNR: 23.373266220092773
2024-03-12 12:37:41,444 - 9/100, PSNR: 28.079999923706055
2024-03-12 12:37:42,121 - 10/100, PSNR: 24.429691314697266
2024-03-12 12:37:42,721 - 11/100, PSNR: 26.092670440673828
2024-03-12 12:37:43,396 - 12/100, PSNR: 23.862735748291016
2024-03-12 12:37:46,436 - 13/100, PSNR: 26.216684341430664
2024-03-12 12:37:47,042 - 14/100, PSNR: 25.030227661132812
2024-03-12 12:37:47,646 - 15/100, PSNR: 28.575538635253906
2024-03-12 12:37:48,255 - 16/100, PSNR: 26.940950393676758
2024-03-12 12:37:48,935 - 17/100, PSNR: 27.139867782592773
2024-03-12 12:37:49,612 - 18/100, PSNR: 24.008525848388672
2024-03-12 12:37:50,215 - 19/100, PSNR: 24.21781349182129
2024-03-12 12:37:50,815 - 20/100, PSNR: 19.514921188354492
2024-03-12 12:37:51,416 - 21/100, PSNR: 21.640642166137695
2024-03-12 12:37:54,724 - 22/100, PSNR: 25.561445236206055
2024-03-12 12:37:57,393 - 23/100, PSNR: 22.704113006591797
2024-03-12 12:37:57,997 - 24/100, PSNR: 23.60651969909668
2024-03-12 12:37:58,600 - 25/100, PSNR: 22.80543327331543
2024-03-12 12:37:59,275 - 26/100, PSNR: 21.464908599853516
2024-03-12 12:37:59,951 - 27/100, PSNR: 28.899017333984375
2024-03-12 12:38:00,556 - 28/100, PSNR: 15.335593223571777
2024-03-12 12:38:01,160 - 29/100, PSNR: 24.810903549194336
2024-03-12 12:38:02,860 - 30/100, PSNR: 22.409391403198242
2024-03-12 12:38:03,463 - 31/100, PSNR: 24.570039749145508
2024-03-12 12:38:04,071 - 32/100, PSNR: 24.673755645751953
2024-03-12 12:38:07,257 - 33/100, PSNR: 26.898542404174805
2024-03-12 12:38:07,862 - 34/100, PSNR: 21.869239807128906
2024-03-12 12:38:11,196 - 35/100, PSNR: 20.99620819091797
2024-03-12 12:38:11,871 - 36/100, PSNR: 21.352787017822266
2024-03-12 12:38:12,476 - 37/100, PSNR: 22.055566787719727
2024-03-12 12:38:13,075 - 38/100, PSNR: 33.04607391357422
2024-03-12 12:38:13,676 - 39/100, PSNR: 26.214025497436523
2024-03-12 12:38:14,278 - 40/100, PSNR: 25.060779571533203
2024-03-12 12:38:14,892 - 41/100, PSNR: 24.5781307220459
2024-03-12 12:38:15,499 - 42/100, PSNR: 26.035812377929688
2024-03-12 12:38:16,101 - 43/100, PSNR: 33.68634033203125
2024-03-12 12:38:18,911 - 44/100, PSNR: 26.65725326538086
2024-03-12 12:38:19,513 - 45/100, PSNR: 19.672958374023438
2024-03-12 12:38:22,346 - 46/100, PSNR: 20.56244468688965
2024-03-12 12:38:22,953 - 47/100, PSNR: 23.051151275634766
2024-03-12 12:38:23,640 - 48/100, PSNR: 23.45077896118164
2024-03-12 12:38:24,244 - 49/100, PSNR: 17.946252822875977
2024-03-12 12:38:24,851 - 50/100, PSNR: 24.54531478881836
2024-03-12 12:38:27,638 - 51/100, PSNR: 24.460569381713867
2024-03-12 12:38:30,032 - 52/100, PSNR: 27.07154655456543
2024-03-12 12:38:30,633 - 53/100, PSNR: 28.09886360168457
2024-03-12 12:38:32,851 - 54/100, PSNR: 21.928146362304688
2024-03-12 12:38:37,057 - 55/100, PSNR: 26.279531478881836
2024-03-12 12:38:37,660 - 56/100, PSNR: 21.85797691345215
2024-03-12 12:38:40,585 - 57/100, PSNR: 31.503929138183594
2024-03-12 12:38:41,190 - 58/100, PSNR: 25.173978805541992
2024-03-12 12:38:41,793 - 59/100, PSNR: 22.505233764648438
2024-03-12 12:38:42,473 - 60/100, PSNR: 18.46257209777832
2024-03-12 12:38:43,074 - 61/100, PSNR: 19.956462860107422
2024-03-12 12:38:43,673 - 62/100, PSNR: 29.967710494995117
2024-03-12 12:38:46,776 - 63/100, PSNR: 28.829763412475586
2024-03-12 12:38:47,375 - 64/100, PSNR: 26.938379287719727
2024-03-12 12:38:48,056 - 65/100, PSNR: 24.935117721557617
2024-03-12 12:38:48,661 - 66/100, PSNR: 22.8756160736084
2024-03-12 12:38:49,266 - 67/100, PSNR: 24.317716598510742
2024-03-12 12:38:49,870 - 68/100, PSNR: 27.029890060424805
2024-03-12 12:38:50,475 - 69/100, PSNR: 21.543594360351562
2024-03-12 12:38:53,732 - 70/100, PSNR: 24.59494972229004
2024-03-12 12:38:54,336 - 71/100, PSNR: 26.94441032409668
2024-03-12 12:38:54,938 - 72/100, PSNR: 20.92057228088379
2024-03-12 12:38:55,542 - 73/100, PSNR: 21.293317794799805
2024-03-12 12:38:56,147 - 74/100, PSNR: 26.241945266723633
2024-03-12 12:38:56,826 - 75/100, PSNR: 21.08622932434082
2024-03-12 12:38:57,425 - 76/100, PSNR: 20.44477081298828
2024-03-12 12:38:57,934 - 77/100, PSNR: 32.15153884887695
2024-03-12 12:39:01,518 - 78/100, PSNR: 26.27886390686035
2024-03-12 12:39:05,374 - 79/100, PSNR: 23.872873306274414
2024-03-12 12:39:05,973 - 80/100, PSNR: 28.114238739013672
2024-03-12 12:39:08,574 - 81/100, PSNR: 23.78743553161621
2024-03-12 12:39:09,173 - 82/100, PSNR: 27.775501251220703
2024-03-12 12:39:12,026 - 83/100, PSNR: 22.908632278442383
2024-03-12 12:39:12,630 - 84/100, PSNR: 22.613245010375977
2024-03-12 12:39:13,234 - 85/100, PSNR: 20.791536331176758
2024-03-12 12:39:13,835 - 86/100, PSNR: 29.999982833862305
2024-03-12 12:39:14,437 - 87/100, PSNR: 22.306089401245117
2024-03-12 12:39:15,038 - 88/100, PSNR: 24.518821716308594
2024-03-12 12:39:15,639 - 89/100, PSNR: 23.962936401367188
2024-03-12 12:39:16,245 - 90/100, PSNR: 23.596298217773438
2024-03-12 12:39:19,680 - 91/100, PSNR: 22.228652954101562
2024-03-12 12:39:20,247 - 92/100, PSNR: 22.67061996459961
2024-03-12 12:39:20,852 - 93/100, PSNR: 28.261688232421875
2024-03-12 12:39:21,460 - 94/100, PSNR: 25.799579620361328
2024-03-12 12:39:22,029 - 95/100, PSNR: 18.552825927734375
2024-03-12 12:39:22,636 - 96/100, PSNR: 26.65363311767578
2024-03-12 12:39:23,241 - 97/100, PSNR: 19.260337829589844
2024-03-12 12:39:23,842 - 98/100, PSNR: 27.926645278930664
2024-03-12 12:39:24,444 - 99/100, PSNR: 23.827959060668945
2024-03-12 12:39:24,954 - 100/100, PSNR: 22.37660789489746
2024-03-12 12:39:24,957 - PSNR in unknown_x2_valid_dataset: 24.45532989501953
2024-03-12 12:39:26,253 - 1/100, SSIM: 0.6875984854533334
2024-03-12 12:39:27,514 - 2/100, SSIM: 0.7646838936737158
2024-03-12 12:39:28,948 - 3/100, SSIM: 0.9182993158264704
2024-03-12 12:39:30,066 - 4/100, SSIM: 0.6081810607324037
2024-03-12 12:39:31,506 - 5/100, SSIM: 0.5998660428522097
2024-03-12 12:39:32,767 - 6/100, SSIM: 0.7325586125697893
2024-03-12 12:39:33,808 - 7/100, SSIM: 0.30531425588486455
2024-03-12 12:39:35,084 - 8/100, SSIM: 0.6907659171091737
2024-03-12 12:39:36,351 - 9/100, SSIM: 0.7463686073729622
2024-03-12 12:39:37,785 - 10/100, SSIM: 0.6354914491529896
2024-03-12 12:39:39,061 - 11/100, SSIM: 0.6458704892847739
2024-03-12 12:39:40,496 - 12/100, SSIM: 0.6698214920311744
